क्रमाङ्क,गण,उपदेश,अर्थ,इत्,पद,इडागम,धातु
१.१८६,भ्वादि,वर्चँ॒,दीप्तौ॑,['अ'],आत्मनेपदी,सेट्,वर्च्
१.१८७,भ्वादि,षचँ॒,सेच॑ने॒ सेव॑ने च,['अ'],आत्मनेपदी,सेट्,सच्
१.१८८,भ्वादि,लोचृँ॒,दर्श॑ने,['ऋ'],आत्मनेपदी,सेट्,लोच्
१.१८९,भ्वादि,शचँ॒,व्य॑क्तायां वा॒चि,['अ'],आत्मनेपदी,सेट्,शच्
१.१९०,भ्वादि,श्वचँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,श्वच्
१.१९१,भ्वादि,श्वचिँ॒,गतौ॑,['इ'],आत्मनेपदी,सेट्,श्वञ्च्
१.१९२,भ्वादि,कचँ॒,बन्ध॑ने,['अ'],आत्मनेपदी,सेट्,कच्
१.१९३,भ्वादि,कचिँ॒,दीप्तिबन्ध॒नयोः॑,['इ'],आत्मनेपदी,सेट्,कञ्च्
१.१९४,भ्वादि,काचिँ॒,दीप्तिबन्ध॒नयोः॑,['इ'],आत्मनेपदी,सेट्,काञ्च्
१.१९५,भ्वादि,मचँ॒,कल्क॑ने कथ॑न॒ इत्य॒न्ये,['अ'],आत्मनेपदी,सेट्,मच्
१.१९६,भ्वादि,मुचि॒,कल्क॑ने कथ॑न॒ इत्य॒न्ये,[],परस्मैपदी,अनिट्,मुचि
१.१९७,भ्वादि,मचिँ॒,धारणोच्छ्रायपूज॒नेषु॑,['इ'],आत्मनेपदी,सेट्,मञ्च्
१.१९८,भ्वादि,पचिँ॒,व्यक्ती॒कर॑णे,['इ'],आत्मनेपदी,सेट्,पञ्च्
१.१९९,भ्वादि,ष्टुचँ॒,प्रसा॒दे,['अ'],आत्मनेपदी,सेट्,स्तुच्
१.२००,भ्वादि,ऋजँ॒,गतिस्थानार्जनोपार्ज॒नेषु॑,['अ'],आत्मनेपदी,सेट्,ऋज्
१.२०१,भ्वादि,ऋजिँ॒,भर्ज॑ने,['इ'],आत्मनेपदी,सेट्,ऋञ्ज्
१.२०२,भ्वादि,भृजीँ॒,भर्ज॑ने,['ई'],आत्मनेपदी,सेट्,भृज्
१.२०३,भ्वादि,एजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,सेट्,एज्
१.२०४,भ्वादि,भ्रेजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,सेट्,भ्रेज्
१.२०५,भ्वादि,भ्राजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,सेट्,भ्राज्
१.२०६,भ्वादि,रेजृँ॒,दीप्तौ॑,['ऋ'],आत्मनेपदी,सेट्,रेज्
१.२०७,भ्वादि,ईज॒,गतिकुत्स॒नयोः॑,[],परस्मैपदी,अनिट्,ईज
१.२०८,भ्वादि,ईजिँ॒,इत्येके॑,['इ'],आत्मनेपदी,सेट्,ईञ्ज्
१.२०९,भ्वादि,वीजँ॒,गतौ॑,['अ'],आत्मनेपदी,सेट्,वीज्
१.२१०,भ्वादि,शुचँ,शोके॑,['अ'],परस्मैपदी,सेट्,शुच्
१.२११,भ्वादि,कुचँ,शब्दे॑ ता॒रे,['अ'],परस्मैपदी,सेट्,कुच्
१.२१२,भ्वादि,कुञ्चँ,कौटिल्याल्पीभा॒वयोः॑,['अ'],परस्मैपदी,सेट्,कुञ्च्
१.२१३,भ्वादि,क्रुञ्चँ,कौटिल्याल्पीभा॒वयोः॑,['अ'],परस्मैपदी,सेट्,क्रुञ्च्
१.२१४,भ्वादि,लुञ्चँ,अप॒नय॑ने,['अ'],परस्मैपदी,सेट्,लुञ्च्
१.२१५,भ्वादि,अञ्चुँ,गतिपूज॒नयोः॑,['उ'],परस्मैपदी,सेट्,अञ्च्
१.२१६,भ्वादि,वञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,वञ्च्
१.२१७,भ्वादि,चञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,चञ्च्
१.२१८,भ्वादि,तञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,तञ्च्
१.२१९,भ्वादि,त्वञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,त्वञ्च्
१.२२०,भ्वादि,म्रुञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,म्रुञ्च्
१.२२१,भ्वादि,म्लुञ्चुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,म्लुञ्च्
१.२२२,भ्वादि,म्रुचुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,म्रुच्
१.२२३,भ्वादि,म्लुचुँ,गतौ॑,['उ'],परस्मैपदी,सेट्,म्लुच्
१.२२४,भ्वादि,ग्रुचुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,सेट्,ग्रुच्
१.२२५,भ्वादि,ग्लुचुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,सेट्,ग्लुच्
१.२२६,भ्वादि,कुजुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,सेट्,कुज्
१.२२७,भ्वादि,खुजुँ,स्तेयकर॒णे,['उ'],परस्मैपदी,सेट्,खुज्
१.२२८,भ्वादि,ग्लुञ्चँ,गतौ॑,['अ'],परस्मैपदी,सेट्,ग्लुञ्च्
१.२२९,भ्वादि,षस्जँ,गतौ॑ षस्जि॑रात्मनेप॒द्यपि॑,['अ'],परस्मैपदी,सेट्,सस्ज्
१.२३०,भ्वादि,गुजँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,सेट्,गुज्
१.२३१,भ्वादि,गुजिँ,अव्य॑क्ते॒ शब्दे॑,['इ'],परस्मैपदी,सेट्,गुञ्ज्
१.२३२,भ्वादि,अर्चँ,पू॒जाया॑म्,['अ'],परस्मैपदी,सेट्,अर्च्
१.२३३,भ्वादि,म्लेछँ,अव्य॑क्ते॒ शब्दे॑,['अ'],परस्मैपदी,सेट्,म्लेछ्
